scenario_id,profile_name,length_name,target_Np,target_SR,target_MM,obs_Np,obs_SR,obs_MM,error_Np_pct,error_SR_pct,error_MM_pct,chains_used,rhat_Np,ess_Np,rhat_SR,ess_SR,rhat_MM,ess_MM,run_time_sec
1,Equal_Scaled,1M_Iter,100,1,1,100,1,1,0,0,0,4,1.000888612339119,15252.564601712416,1.000193899011169,35277.99192499293,1.0819110909707683,230.97203258447584,264.67894649505615
2,Equal_Scaled,1M_Iter,100,1,2,100,1,2,0,0,0,4,1.0002375646772026,18524.342763023862,1.0002486150038825,58787.10916435751,1.00047865968859,6737.664888262574,263.6807224750519
3,Equal_Scaled,1M_Iter,100,1,4,100,1,4,0,0,0,4,1.1699599439876283,99.47704373845178,1.0000441754976475,45018.3048955419,1.0059967240358465,14217.883616840143,262.0183928012848
4,Equal_Scaled,1M_Iter,100,2,2,99,2,2,1,0,0,4,1.0003046588584916,26958.01729056732,1.0000736927786604,28798.377419379867,1.0008194366119199,5547.491173843454,261.7627749443054
5,Equal_Scaled,1M_Iter,100,2,4,99,2,4,1,0,0,4,1.0057254022319604,20486.47464744164,1.0022456725758664,31217.37354212738,1.0230856244947013,11327.88513964511,262.9731891155243
6,Equal_Scaled,1M_Iter,100,4,4,100,4,4,0,0,0,4,1.0003491604526629,29611.239609893735,1.000676312503353,11741.791900857206,1.0001605458998297,8531.204658262785,261.19241404533386
7,Equal_Scaled,1M_Iter,200,1,1,200,1,1.02,0,0,2.0000000000000018,4,1.0007995666570422,20170.18671922635,1.0000661491601068,47968.48867344193,1.052559209316938,282.92071071267753,258.31738018989563
8,Equal_Scaled,1M_Iter,200,1,2,200,1,2,0,0,0,4,1.000017979193417,31884.264817631694,1.0000425431824822,95681.81980368847,1.0016239241362825,8542.024599427263,264.41116547584534
9,Equal_Scaled,1M_Iter,200,1,4,200,1,4,0,0,0,4,1.0003673322832611,32085.355437032053,1.0001475075315573,112754.50629585261,1.0001508233675072,32677.807134901166,262.44780254364014
10,Equal_Scaled,1M_Iter,200,2,2,201,2,2.003731343283582,0.5,0,0.1865671641791078,4,1.0004836705209557,37144.383292362916,1.000146989461734,39112.23865212435,1.0005690305921147,4446.552505088885,261.1355473995209
11,Equal_Scaled,1M_Iter,200,2,4,201,2,3.996268656716418,0.5,0,0.0932835820895539,4,1.0001256312546183,44797.726669950745,1.0000008403335474,58852.02028417497,1.0003590459944285,28767.556957466266,261.1043210029602
12,Equal_Scaled,1M_Iter,200,4,4,200,4,4,0,0,0,4,1.0002826695963787,52321.501072198946,1.000155308102731,19487.185447410888,1.0002463797240264,18507.258282514485,262.9153165817261
13,Equal_Scaled,1M_Iter,400,1,1,400,1,1.04,0,0,4.0000000000000036,4,1.0009596332145614,23561.492155587992,1.0002149792444104,62092.31456279227,1.0711916478578887,390.1245116718758,257.090873003006
14,Equal_Scaled,1M_Iter,400,1,2,400,1,1.995,0,0,0.24999999999999467,4,1.0012251978035454,33560.971060844895,1.0000956883298455,116166.08225454985,1.0027775224752178,10676.95024466661,261.19131660461426
15,Equal_Scaled,1M_Iter,400,1,4,400,1,3.99,0,0,0.24999999999999467,4,1.0002215984742246,53604.40535361858,1.0000681839182337,159394.58216069872,1.0000072117755143,52468.8836601209,261.31710958480835
16,Equal_Scaled,1M_Iter,400,2,2,399,2,2.00187969924812,0.25,0,0.09398496240600185,4,1.0001990693564247,43443.405172316736,1.000478254506045,44537.84715301387,1.004940876471513,5176.971616525634,263.7462193965912
17,Equal_Scaled,1M_Iter,400,2,4,402,2,4.001865671641791,0.5,0,0.046641791044765846,4,1.000270570308538,66938.88502203545,1.0000691825726964,74595.68229879587,1.0001979153691705,42815.335289901996,229.96280527114868
18,Equal_Scaled,1M_Iter,400,4,4,400,4,4.0078125,0,0,0.1953125,4,1.0000451123431642,61372.63893193889,1.000109460906675,24018.97957484033,1.0004493747765788,26533.441402602664,247.74127006530762
19,Equal_Scaled,1M_Iter,800,1,1,799,0.9975,1.0538189223057643,0.125,0.24999999999999467,5.381892230576435,4,1.004444109019222,24158.613855312607,1.0001219437710422,60493.8326399159,1.0775573544420785,701.2085639365077,244.46000909805298
20,Equal_Scaled,1M_Iter,800,1,2,798,1,2,0.25,0,0,4,1.0928093400333163,3618.26677822227,1.0000575442567223,109460.3784016007,1.0063251948531338,19062.070224712304,244.78391766548157
21,Equal_Scaled,1M_Iter,800,1,4,799,0.9975,3.9975031328320805,0.125,0.24999999999999467,0.062421679197988134,4,1.0546128133692416,256.1583632602194,1.0000973683780023,160219.27465314037,1.0015503615800678,10446.99072604517,235.50824069976807
22,Equal_Scaled,1M_Iter,800,2,2,798,2,1.9990601503759398,0.25,0,0.046992481203012026,4,1.0004289297035334,34796.59219712798,1.000301855507247,40932.00370859378,1.0154548354316046,7541.992008488455,241.9538335800171
23,Equal_Scaled,1M_Iter,800,2,4,800,1.99625468164794,3.9968800725172335,0,0.1872659176029967,0.0779981870691615,4,1.0002374665940716,82206.88906694476,1.0001260018260958,70276.59378512346,1.0003458689275784,52717.97743965737,245.0584259033203
24,Equal_Scaled,1M_Iter,800,4,4,800,4,4,0,0,0,4,1.0002664556880383,61373.06915215704,1.000683649605816,31151.062077770992,1.0001866552899097,39597.23602982291,244.650976896286
25,Equal_Scaled,1M_Iter,1600,1,1,1594,1,1.0614805520702635,0.375,0,6.148055207026348,4,1.0177548453065457,17814.88145735457,1.0005575592041673,45140.91136975057,1.378555702677479,849.9238110849143,239.0192596912384
26,Equal_Scaled,1M_Iter,1600,1,2,1599,1.0012515644555695,1.9974992177722153,0.0625,0.12515644555695093,0.12503911138923574,4,1.0802932691618465,140.44485407048532,1.000092657378753,93719.14640010124,1.006139429891222,25118.192801743102,246.00730204582214
27,Equal_Scaled,1M_Iter,1600,1,4,1600,1.005012531328321,3.9987749923437024,0,0.5012531328320913,0.03062519140744069,4,1.0024458238015104,40.63689233249285,1.0000640048805483,107761.13758118081,1.0047811360453196,1580.696156598053,243.99488043785095
28,Equal_Scaled,1M_Iter,1600,2,2,1597,1.99624765478424,2.0007837957934234,0.1875,0.18761726078799779,0.03918978967116793,4,1.002208897371876,19885.868597106724,1.0007699488859563,34206.294938913066,1.0057024572378506,15540.217165999404,244.03413581848145
29,Equal_Scaled,1M_Iter,1600,2,4,1599,2,3.9976547842401504,0.0625,0,0.058630393996239594,4,1.0436768237419323,1072.535447064161,1.0069706958423699,4522.951485350041,1.0076405519056704,699.2060661496168,245.0057454109192
30,Equal_Scaled,1M_Iter,1600,4,4,1600,4,3.994140625,0,0,0.146484375,4,1.0000845801629432,42841.366229929,1.000102002203542,32779.66431853376,1.000341486222502,39980.17898133548,244.76809573173523
