scenario_id,profile_name,length_name,target_Np,target_SR,target_MM,obs_Np,obs_SR,obs_MM,error_Np_pct,error_SR_pct,error_MM_pct,chains_used,ess_Np,ess_SR,ess_MM,rhat_Np,rhat_SR,rhat_MM,run_time_sec
1,Equal_Scaled,1M_Iter,100,1,1,100,1.0,1.0,0.0,0.0,0.0,4,16500,31956,254,1.00,1.00,1.05,264.9
2,Equal_Scaled,1M_Iter,100,1,2,100,1.0,2.0,0.0,0.0,0.0,4,19998,57256,6950,1.00,1.00,1.00,264.1
3,Equal_Scaled,1M_Iter,100,1,4,100,1.0,4.0,0.0,0.0,0.5,4,4387,50179,13846,1.36,1.00,1.00,261.9
4,Equal_Scaled,1M_Iter,100,2,2,99,2.0,2.0,1.0,0.0,0.0,4,27174,25457,5587,1.00,1.00,1.00,261.4
5,Equal_Scaled,1M_Iter,100,2,4,99,2.0,4.0,1.0,0.0,0.0,4,23568,31902,14166,1.00,1.00,1.00,262.8
6,Equal_Scaled,1M_Iter,100,4,4,100,4.0,4.0,0.0,0.0,0.0,4,30062,11711,8087,1.00,1.00,1.00,260.7
7,Equal_Scaled,1M_Iter,200,1,1,200,1.0,1.1,0.0,0.0,6.0,4,21716,47772,444,1.00,1.00,1.12,260.9
8,Equal_Scaled,1M_Iter,200,1,2,200,1.0,2.0,0.0,0.0,0.0,4,33987,94767,9050,1.00,1.00,1.00,264.8
9,Equal_Scaled,1M_Iter,200,1,4,200,1.0,4.0,0.0,0.0,0.0,4,28665,114034,32595,1.00,1.00,1.00,262.5
10,Equal_Scaled,1M_Iter,200,2,2,201,2.0,2.0,0.5,0.0,0.2,4,36160,39613,5727,1.00,1.00,1.00,261.4
11,Equal_Scaled,1M_Iter,200,2,4,200,2.0,4.0,0.0,0.7,0.1,4,43730,55241,27923,1.00,1.00,1.00,261.7
12,Equal_Scaled,1M_Iter,200,4,4,200,4.0,4.0,0.0,0.0,0.0,4,59178,18001,17898,1.00,1.00,1.00,261.5
13,Equal_Scaled,1M_Iter,400,1,1,400,1.0,1.0,0.0,0.0,3.0,4,21231,62327,525,1.00,1.00,1.07,259.1
14,Equal_Scaled,1M_Iter,400,1,2,400,1.0,2.0,0.0,0.0,0.2,4,37909,118947,10776,1.00,1.00,1.00,260.6
15,Equal_Scaled,1M_Iter,400,1,4,400,1.0,4.0,0.0,0.0,0.2,4,19087,155987,43492,1.24,1.00,1.00,261.1
16,Equal_Scaled,1M_Iter,400,2,2,399,2.0,2.0,0.3,0.0,0.1,4,45193,43615,4719,1.00,1.00,1.01,263.8
17,Equal_Scaled,1M_Iter,400,2,4,400,2.0,4.0,0.0,0.4,0.0,4,68787,75219,45182,1.00,1.00,1.00,221.4
18,Equal_Scaled,1M_Iter,400,4,4,400,4.0,4.0,0.0,0.0,0.0,4,69932,23836,27543,1.00,1.00,1.00,240.4
19,Equal_Scaled,1M_Iter,800,1,1,802,1.0,1.0,0.3,0.0,3.2,4,17920,58969,933,1.00,1.00,1.11,241.9
20,Equal_Scaled,1M_Iter,800,1,2,802,1.0,2.0,0.3,0.0,0.0,4,9222,113447,15616,1.00,1.00,1.01,244.4
21,Equal_Scaled,1M_Iter,800,1,4,799,1.0,4.0,0.1,0.2,0.1,4,600,152446,11817,1.18,1.00,1.01,223.1
22,Equal_Scaled,1M_Iter,800,2,2,801,2.0,2.0,0.1,0.0,0.1,4,36901,45009,7184,1.00,1.00,1.01,239.0
23,Equal_Scaled,1M_Iter,800,2,4,800,2.0,4.0,0.0,0.2,0.0,4,65926,59324,42609,1.20,1.00,1.01,244.1
24,Equal_Scaled,1M_Iter,800,4,4,800,4.0,4.0,0.0,0.0,0.0,4,62007,32723,35132,1.00,1.00,1.00,244.5
25,Equal_Scaled,1M_Iter,1600,1,1,1599,1.0,1.1,0.1,0.4,5.3,4,20177,42713,1146,1.01,1.00,1.21,240.0
26,Equal_Scaled,1M_Iter,1600,1,2,1599,1.0,2.0,0.1,0.1,0.1,4,68,93155,24987,1.01,1.00,1.00,244.8
27,Equal_Scaled,1M_Iter,1600,1,4,1602,1.0,4.0,0.1,0.2,0.0,4,39,107554,1436,1.03,1.00,1.01,241.4
28,Equal_Scaled,1M_Iter,1600,2,2,1600,2.0,2.0,0.0,0.1,0.0,4,25248,34840,14241,1.00,1.00,1.01,243.2
29,Equal_Scaled,1M_Iter,1600,2,4,1598,2.0,4.0,0.1,0.4,0.1,4,2570,4721,817,1.12,1.01,1.02,242.3
30,Equal_Scaled,1M_Iter,1600,4,4,1600,4.0,4.0,0.0,0.0,0.2,4,45294,33017,37239,1.00,1.00,1.00,242.9
