Np,Parent_Sex,Yield_Tier,Sample_Color,mean_count,sd_count,se_count
100,Maternal Parents,Singletons (1 Offspring),N = 100,6.8,2.6583202716502514,0.8406346808612327
100,Maternal Parents,Singletons (1 Offspring),N = 500,0,0,0
100,Maternal Parents,Singletons (1 Offspring),N = 1000,0,0,0
100,Maternal Parents,Doubletons (2 Offspring),N = 100,7.6,1.776388345929897,0.5617433182117572
100,Maternal Parents,Doubletons (2 Offspring),N = 500,0.5,0.8498365855987975,0.26874192494328497
100,Maternal Parents,Doubletons (2 Offspring),N = 1000,0,0,0
100,Paternal Parents,Singletons (1 Offspring),N = 100,19.4,4.115013163202924,1.3012814197295424
100,Paternal Parents,Singletons (1 Offspring),N = 500,7.5,2.173067468400883,0.6871842709362768
100,Paternal Parents,Singletons (1 Offspring),N = 1000,2.8,1.7511900715418263,0.5537749241945383
100,Paternal Parents,Doubletons (2 Offspring),N = 100,9.8,4.049691346263317,1.2806248474865696
100,Paternal Parents,Doubletons (2 Offspring),N = 500,8.7,3.1989581637360205,1.0115993936995678
100,Paternal Parents,Doubletons (2 Offspring),N = 1000,4.7,2.3118054512532935,0.7310570733153768
200,Maternal Parents,Singletons (1 Offspring),N = 100,21.5,3.064129385141706,0.9689627902499088
200,Maternal Parents,Singletons (1 Offspring),N = 500,1.7,0.8232726023485646,0.2603416558635551
200,Maternal Parents,Singletons (1 Offspring),N = 1000,0,0,0
200,Maternal Parents,Doubletons (2 Offspring),N = 100,14,3.681787005729087,1.164283279771532
200,Maternal Parents,Doubletons (2 Offspring),N = 500,4,1.8856180831641267,0.5962847939999438
200,Maternal Parents,Doubletons (2 Offspring),N = 1000,0.3,0.48304589153964794,0.15275252316519466
200,Paternal Parents,Singletons (1 Offspring),N = 100,34.3,5.437523946307424,1.7194960502038572
200,Paternal Parents,Singletons (1 Offspring),N = 500,26.9,3.4464152068167553,1.089852181618121
200,Paternal Parents,Singletons (1 Offspring),N = 1000,14.7,3.591656999213594,1.1357816691600546
200,Paternal Parents,Doubletons (2 Offspring),N = 100,12.7,2.2135943621178655,0.7
