Np,SR,MM,seed_set,n,ratio,mean_diff
100,2,2,100,40,1.1236789952915578,1.3698499999999998
100,2,2,200,40,0.7011631450629825,-5.2951500000000005
100,2,2,300,40,1.0324100586440113,0.44709999999999994
200,2,2,100,40,1.1159533945776383,0.67275
200,2,2,200,40,1.0472430764456935,0.27404999999999996
200,2,2,300,40,0.8703989187591072,-0.92055
400,1,2,100,40,0.13400033074251697,-7.85505
400,1,2,200,40,0.16653307148678076,-6.2387500000000005
400,1,2,300,40,0.11911163326630668,-7.7978
400,1,4,100,40,0.3856662902708656,-4.4068
400,1,4,200,40,0.4371797835765798,-3.7734
400,1,4,300,40,0.37029437458098857,-4.6494
400,2,2,100,40,0.6729194612866878,-1.52395
400,2,2,200,40,0.9029224390737183,-0.3839999999999999
400,2,2,300,40,0.8414523343584009,-0.68055
400,2,4,100,40,0.9517936376626307,-0.28845000000000004
400,2,4,200,40,1.0276142507277854,0.14940000000000003
400,2,4,300,40,0.8879565100586293,-0.709
400,4,4,100,40,2.668868491035429,6.8088999999999995
400,4,4,200,40,3.2402794052746113,7.36055
400,4,4,300,40,3.1738301988334716,7.47265
800,1,2,100,40,0.10597329738192572,-4.1114500000000005
800,1,2,200,40,0.12987235920889684,-3.54825
800,1,2,300,40,0.10299648946840523,-4.2927
800,1,4,100,40,0.318394622587226,-2.6060499999999998
800,1,4,200,40,0.3022545528280128,-2.75285
800,1,4,300,40,0.27624577856604876,-2.9789
800,2,2,100,40,0.8499718373324321,-0.33295
800,2,2,200,40,1.0160479901558654,0.03129999999999999
800,2,2,300,40,0.9416839446152379,-0.12234999999999999
800,2,4,100,40,0.998918428581397,-0.0031000000000000307
800,2,4,200,40,0.9000161498708009,-0.30955000000000005
800,2,4,300,40,0.8959911963527747,-0.3308
800,4,4,100,40,2.597198439878235,3.35795
800,4,4,200,40,2.9780870035125644,3.66045
800,4,4,300,40,3.3377678111457922,3.8572
1600,2,2,100,40,0.9762416046054736,-0.026
1600,2,2,200,40,1.0273793370808295,0.02825000000000001
1600,2,2,300,40,0.7936065455072043,-0.28505
