Np,Sib_Label,Sample_Color,mean_val,sd_val,se_val
100,Full-Siblings / Offspring,N = 100,1.84,0.3722603628883657,0.11771906293280529
100,Full-Siblings / Offspring,N = 500,10.6164,1.9725470956214057,0.6237741614113591
100,Full-Siblings / Offspring,N = 1000,19.969,3.2218286387978146,1.0188316729361027
100,Maternal Half-Sibs / Offspring,N = 100,1.366,0.24423122013552834,0.07723269313502469
100,Maternal Half-Sibs / Offspring,N = 500,6.218,1.3166425314243635,0.41635892635508076
100,Maternal Half-Sibs / Offspring,N = 1000,12.9808,1.7407541660632802,0.5504748011186947
100,Paternal Half-Sibs / Offspring,N = 100,1.258,1.1452491237960216,0.362159571950757
100,Paternal Half-Sibs / Offspring,N = 500,4.8164,2.8747423923235664,0.9090733645983816
100,Paternal Half-Sibs / Offspring,N = 1000,12.7248,10.976258548947056,3.470997720156747
200,Full-Siblings / Offspring,N = 100,1.03,0.2016046736671659,0.0637529955723215
200,Full-Siblings / Offspring,N = 500,5.0564,0.5725683268299854,0.181062002885445
200,Full-Siblings / Offspring,N = 1000,10.4126,0.9783859951755015,0.3093928175565096
200,Maternal Half-Sibs / Offspring,N = 100,0.604,0.1894553597376789,0.05991104516976258
200,Maternal Half-Sibs / Offspring,N = 500,3.4596,0.4330417480515655,0.13693982457837292
200,Maternal Half-Sibs / Offspring,N = 1000,6.8306000000000004,0.7873488849720097,0.24898157897054693
200,Paternal Half-Sibs / Offspring,N = 100,0.5800000000000001,0.32,0.10119288512538814
200,Paternal Half-Sibs / Offspring,N = 500,2.9724,1.2447442575351237,0.3936226958226198
200,Paternal Half-Sibs / Offspring,N = 1000,5.8426,1.415272584659538,0.4475484877517618
400,Full-Siblings / Offspring,N = 100,0.554,0.14331007563244733,0.0453186250649529
400,Full-Siblings / Offspring,N = 500,2.6232,0.42691992483628843,0.13500393409905584
400,Full-Siblings / Offspring,N = 1000,5.1324,0.6161578441348361,0.19484621856451023
400,Maternal Half-Sibs / Offspring,N = 100,0.354,0.1265086733961132,0.04000555516980666
400,Maternal Half-Sibs / Offspring,N = 500,1.584,0.33332266649599457,0.10540588218880387
400,Maternal Half-Sibs / Offspring,N = 1000,3.3742,0.5607926533042314,0.17733820795305222
400,Paternal Half-Sibs / Offspring,N = 100,0.462,0.2119643575908197,0.0670290152761391
400,Paternal Half-Sibs / Offspring,N = 500,2.3256,1.5513185216310528,0.49056999047593147
400,Paternal Half-Sibs / Offspring,N = 1000,4.3366,1.483091381016168,0.4689946742175698
800,Full-Siblings / Offspring,N = 100,0.2,0.05333333333333334,0.016865480854231358
800,Full-Siblings / Offspring,N = 500,1.1904,0.15430071649578012,0.048794170872258
800,Full-Siblings / Offspring,N = 1000,2.3592,0.1944409650482349,0.061487631999361386
800,Maternal Half-Sibs / Offspring,N = 100,0.176,0.04087922591134904,0.012927146286443543
800,Maternal Half-Sibs / Offspring,N = 500,0.9224,0.12522264615919565,0.03959887764963941
800,Maternal Half-Sibs / Offspring,N = 1000,1.9464000000000001,0.2386811913643618,0.07547761993538953
800,Paternal Half-Sibs / Offspring,N = 100,0.19799999999999998,0.09016035098028893,0.02851120637379079
800,Paternal Half-Sibs / Offspring,N = 500,0.9788,0.1986178911041668,0.062808491994846255
800,Paternal Half-Sibs / Offspring,N = 1000,2.0782,0.5226670493195879,0.1652818333769457
1600,Full-Siblings / Offspring,N = 100,0.12,0.0565685424949238,0.017888543819998316
1600,Full-Siblings / Offspring,N = 500,0.5032,0.03281192195258032,0.010376040777783316
1600,Full-Siblings / Offspring,N = 1000,1.0778,0.10787008647236525,0.03411151646519919
1600,Maternal Half-Sibs / Offspring,N = 100,0.094,0.037771241264574124,0.011944315244779279
1600,Maternal Half-Sibs / Offspring,N = 500,0.5552,0.07389602304740238,0.02336797428580882
1600,Maternal Half-Sibs / Offspring,N = 1000,1.1034,0.08056494964381909,0.025476874045123953
1600,Paternal Half-Sibs / Offspring,N = 100,0.084,0.03627058802329451,0.0114697670227235
1600,Paternal Half-Sibs / Offspring,N = 500,0.5508,0.11166696517373037,0.035312194934768795
1600,Paternal Half-Sibs / Offspring,N = 1000,1.0666,0.25418112527181175,0.08037912940835105
