Np,Intensity,Mean_Components,SE_Components,Mean_Density,SE_Density
100,0,22.6,0.8969082698049139,0.047955216742380895,0.0040455197830688095
100,0.01,20.5,0.8724168218868267,0.052694396606616976,0.003874885098172427
100,0.02,17.9,0.9,0.05738205216204547,0.003961237371420497
100,0.05,15.3,0.8439325934114774,0.06268882590379082,0.003525418506264984
100,0.1,13.7,0.8306623862918074,0.06621164187025251,0.0032836458923510663
100,0.25,12.6,0.6182412330330469,0.06735945412227469,0.003741123391606625
100,0.5,12.4,0.5811865258054231,0.06696878589212897,0.003310714649078575
100,0.75,14.2,0.8406346808612327,0.06658724910216549,0.0036025171454450882
100,1,13.5,0.6368324391514266,0.06658230180982641,0.003520160668008211
200,0,46.2,1.171893055416463,0.024252385647705436,0.0016724010881291776
200,0.01,42.3,1.1060440015358037,0.02669129206453261,0.0016624513258543586
200,0.02,37.3,0.6155395104206463,0.029956187868375523,0.0012783584025783461
200,0.05,31.3,1.1160446028522137,0.033137383377385796,0.0013880233655383153
200,0.1,27.6,0.39999999999999997,0.035409639315504296,0.0013369626331740199
200,0.25,26.4,0.9910712498212337,0.035594049349860234,0.001285087157810771
200,0.5,27.3,1.085766498326822,0.035506994704454835,0.0013134481155485226
200,0.75,26.7,0.683942817622773,0.03555579192459078,0.0013080101027541284
200,1,26.9,1.3780017739062924,0.03559245340929005,0.0014227506320252025
400,0,105.8,2.009975124224178,0.01029259039136477,5.219823844988373e-4
400,0.01,95.9,2.4057800767688176,0.013848890134508449,6.958980488732969e-4
400,0.02,88.1,2.994253756039316,0.01626151554796768,8.479960906181587e-4
400,0.05,75.3,2.2903177848402514,0.020602595548798272,0.0012425910876773458
400,0.1,64.3,2.573583752927682,0.023745134378626014,0.0017672096412844698
400,0.25,62.5,1.8752777572046937,0.024586726653234792,0.0019130142760971501
400,0.5,61.7,2.145020072426156,0.02459036286686841,0.001929972219761282
400,0.75,59.9,1.8882678717691395,0.02486689942736041,0.001989598565585464
400,1,60.7,1.9093337988826247,0.024742758130847226,0.0019527355241959177
800,0,217.3,3.4385074281340926,0.004546016716627517,2.445542324224192e-4
800,0.01,197.4,3.667272677193351,0.006398112557575464,2.801729635178223e-4
800,0.02,179,2.8518999514943246,0.008240647682491291,3.1332799333909844e-4
800,0.05,150.9,3.2333333333333334,0.01052131382443194,2.9136514663006977e-4
800,0.1,131.1,2.6095976701399772,0.011758708246360933,3.7903160860866737e-4
800,0.25,121,2.594866727470475,0.012012112007556431,4.082526037325138e-4
800,0.5,117.3,1.9891371663780923,0.01202501106521997,3.976106130755256e-4
800,0.75,116.7,2.211334438749598,0.0120247541231369,4.256745796374591e-4
800,1,120,2.5733678754158373,0.012047141832778592,4.097458257300236e-4
1600,0,453.1,5.833714273275836,0.0018743977052363995,8.035248218304094e-5
1600,0.01,402.2,5.551376205750947,0.0032076777119509612,7.587506046425004e-5
1600,0.02,369.2,6.117007256639294,0.003987977016539279,8.151828249423552e-5
1600,0.05,305.9,6.505467785725413,0.005392585386093006,1.5928796763309532e-4
1600,0.1,261.6,4.745055906473132,0.006008600183450395,2.2099520007417902e-4
1600,0.25,236.3,2.113711848331692,0.0060847536125365614,2.373043672977256e-4
1600,0.5,232.8,2.1228911104120876,0.0060913442414125074,2.380214445329308e-4
1600,0.75,228.4,2.604269997949948,0.006089217881093711,2.3658730716830635e-4
1600,1,231.6,3.8360859682175468,0.0060882585033047555,2.3555366569693234e-4
