scenario_id,target_Np,target_SR,target_MM
1,100,1,1
2,100,1,2
3,100,1,4
4,100,1.5,1
5,100,1.5,2
6,100,1.5,4
7,100,2,1
8,100,2,2
9,100,2,4
10,100,3,1
11,100,3,2
12,100,3,4
13,100,4,1
14,100,4,2
15,100,4,4
16,1000,1,1
17,1000,1,2
18,1000,1,4
19,1000,1.5,1
20,1000,1.5,2
21,1000,1.5,4
22,1000,2,1
23,1000,2,2
24,1000,2,4
25,1000,3,1
26,1000,3,2
27,1000,3,4
28,1000,4,1
29,1000,4,2
30,1000,4,4
31,10000,1,1
32,10000,1,2
33,10000,1,4
34,10000,1.5,1
35,10000,1.5,2
36,10000,1.5,4
37,10000,2,1
38,10000,2,2
39,10000,2,4
40,10000,3,1
41,10000,3,2
42,10000,3,4
43,10000,4,1
44,10000,4,2
45,10000,4,4
