Np,Sib_Label,Sample_Color,mean_val,sd_val,se_val
100,Full-Siblings / Offspring,N = 100,2.03,0.17603282522176236,0.05566646706551039
100,Full-Siblings / Offspring,N = 500,10.0076,0.44910755949994874,0.1420202802419429
100,Full-Siblings / Offspring,N = 1000,20.16708,1.0796768413640148,0.3414237955646583
100,Maternal Half-Sibs / Offspring,N = 100,1.2528000000000001,0.23217464690759554,0.07342006991733709
100,Maternal Half-Sibs / Offspring,N = 500,6.51712,0.5513848037240215,0.17436318469728
100,Maternal Half-Sibs / Offspring,N = 1000,12.36156,1.2100878271155913,0.382663370252933
100,Paternal Half-Sibs / Offspring,N = 100,0.9556,0.1567157369960727,0.049557867409950385
100,Paternal Half-Sibs / Offspring,N = 500,4.8496,0.8795127539976009,0.27812635337997804
100,Paternal Half-Sibs / Offspring,N = 1000,9.46888,1.608676328745676,0.5087081216834135
200,Full-Siblings / Offspring,N = 100,0.9908,0.10070065651336252,0.031844343645649566
200,Full-Siblings / Offspring,N = 500,4.97864,0.22236676010591153,0.07031854378469451
200,Full-Siblings / Offspring,N = 1000,9.80168,0.5627115558713109,0.17794501822504374
200,Maternal Half-Sibs / Offspring,N = 100,0.4792,0.06708667693530679,0.02121466997674539
200,Maternal Half-Sibs / Offspring,N = 500,2.6156,0.3237195494045218,0.10236910992416932
200,Maternal Half-Sibs / Offspring,N = 1000,5.67196,0.9770620714957446,0.3089741561288833
200,Paternal Half-Sibs / Offspring,N = 100,0.586,0.144901499110411,0.0458218773561761
200,Paternal Half-Sibs / Offspring,N = 500,3.18536,0.6223516747877451,0.19680487979496628
200,Paternal Half-Sibs / Offspring,N = 1000,5.976,0.9402046113007059,0.29731880383035164
400,Full-Siblings / Offspring,N = 100,0.4524,0.044679600117577906,0.01412893013170731
400,Full-Siblings / Offspring,N = 500,2.42496,0.17233757054752225,0.05449792493501216
400,Full-Siblings / Offspring,N = 1000,4.76328,0.20180049994432053,0.0638149212784735
400,Maternal Half-Sibs / Offspring,N = 100,0.2672,0.03237557378298919,0.010238055370907977
400,Maternal Half-Sibs / Offspring,N = 500,1.1656,0.19505604892497494,0.06168213859961586
400,Maternal Half-Sibs / Offspring,N = 1000,2.51548,0.40813636283314264,0.12906405024896228
400,Paternal Half-Sibs / Offspring,N = 100,0.4556,0.11400506811346396,0.03605156800411815
400,Paternal Half-Sibs / Offspring,N = 500,2.62288,0.4608646868176771,0.14573821034840367
400,Paternal Half-Sibs / Offspring,N = 1000,5.08032,0.7431612907034381,0.23500823474933807
800,Full-Siblings / Offspring,N = 100,0.336,0.05609515724790035,0.01773884626086676
800,Full-Siblings / Offspring,N = 500,1.62208,0.1493829441402197,0.04723903470647976
800,Full-Siblings / Offspring,N = 1000,3.20688,0.2594779579591812,0.08205413497604286
800,Maternal Half-Sibs / Offspring,N = 100,0.1892,0.03973467559254064,0.012565207696032902
800,Maternal Half-Sibs / Offspring,N = 500,0.9304,0.15969036706493392,0.05049852803135288
800,Maternal Half-Sibs / Offspring,N = 1000,2.08756,0.16161930027760374,0.05110851027199114
800,Paternal Half-Sibs / Offspring,N = 100,0.3844,0.098530536721702,0.031158091511943837
800,Paternal Half-Sibs / Offspring,N = 500,1.8084,0.27595561639912713,0.08726482809369546
800,Paternal Half-Sibs / Offspring,N = 1000,3.59592,0.507294586343412,0.16042063375181306
1600,Full-Siblings / Offspring,N = 100,0.162,0.025525586292102196,0.008071899129421498
1600,Full-Siblings / Offspring,N = 500,0.8460799999999999,0.09177688888458432,0.029022400543947665
1600,Full-Siblings / Offspring,N = 1000,1.67252,0.12373836915039736,0.03912950804699697
1600,Maternal Half-Sibs / Offspring,N = 100,0.1472,0.025072339783558738,0.007928569998569869
1600,Maternal Half-Sibs / Offspring,N = 500,0.73968,0.07109675410624908,0.022482767722067594
1600,Maternal Half-Sibs / Offspring,N = 1000,1.4863600000000001,0.2122712269191889,0.06712605587830837
1600,Paternal Half-Sibs / Offspring,N = 100,0.1588,0.04320699531840238,0.013663251605838358
1600,Paternal Half-Sibs / Offspring,N = 500,0.80288,0.17059631883484475,0.053947292795839166
1600,Paternal Half-Sibs / Offspring,N = 1000,1.31436,0.22277597716091385,0.07044794957981389
