Np,Parent_Sex,Yield_Tier,Sample_Color,mean_count,sd_count,se_count
100,Maternal Parents,Singletons (1 Offspring),N = 100,5.5,0.4737556801183965,0.1498147003616282
100,Maternal Parents,Singletons (1 Offspring),N = 500,0.08,0.13984117975602023,0.04422166387140534
100,Maternal Parents,Singletons (1 Offspring),N = 1000,0.02,0.06324555320336758,0.019999999999999997
100,Maternal Parents,Doubletons (2 Offspring),N = 100,7.06,1.0373041983911953,0.3280243893371345
100,Maternal Parents,Doubletons (2 Offspring),N = 500,0.24000000000000002,0.18378731669453627,0.0581186525805423
100,Maternal Parents,Doubletons (2 Offspring),N = 1000,0,0,0
100,Paternal Parents,Singletons (1 Offspring),N = 100,16.8,1.1623730516108461,0.36757463338907254
100,Paternal Parents,Singletons (1 Offspring),N = 500,6.8,1.5634719199411433,0.4944132324730442
100,Paternal Parents,Singletons (1 Offspring),N = 1000,2.2600000000000002,0.9143303560529968,0.2891366458960192
100,Paternal Parents,Doubletons (2 Offspring),N = 100,9.82,1.4466820275682175,0.45748102571460697
100,Paternal Parents,Doubletons (2 Offspring),N = 500,7.2,1.0110500592068734,0.3197221015541813
100,Paternal Parents,Doubletons (2 Offspring),N = 1000,3.16,0.8208396784864739,0.25957229778575713
200,Maternal Parents,Singletons (1 Offspring),N = 100,25.3,1.7795130420052188,0.5627314338711378
200,Maternal Parents,Singletons (1 Offspring),N = 500,3.04,0.9131143289740763,0.28875210436943616
200,Maternal Parents,Singletons (1 Offspring),N = 1000,0.18,0.17511900715418263,0.05537749241945383
200,Maternal Parents,Doubletons (2 Offspring),N = 100,16.78,1.148719093406023,0.363256872688674
200,Maternal Parents,Doubletons (2 Offspring),N = 500,5.4399999999999995,1.3293273152655485,0.4203702072115852
200,Maternal Parents,Doubletons (2 Offspring),N = 1000,0.76,0.5481281277625191,0.1733333333333333
200,Paternal Parents,Singletons (1 Offspring),N = 100,30.74,2.2431129163632293,0.7093345864650582
200,Paternal Parents,Singletons (1 Offspring),N = 500,22.26,2.1970687542976686,0.6947741439569487
200,Paternal Parents,Singletons (1 Offspring),N = 1000,12.18,1.4680296696971458,0.4642317428947649
200,Paternal Parents,Doubletons (2 Offspring),N = 100,13.7,1.32077418374393,0.41766546953805556
200,Paternal Parents,Doubletons (2 Offspring),N = 500,16.5,2.59101009904117,0.8193493353468552
200,Paternal Parents,Doubletons (2 Offspring),N = 1000,12.56,1.5196490822993753,0.4805552344250693
400,Maternal Parents,Singletons (1 Offspring),N = 100,50.04,2.964680983399956,0.9375144443331702
400,Maternal Parents,Singletons (1 Offspring),N = 500,28.38,3.662967831326578,1.1583321342919453
400,Maternal Parents,Singletons (1 Offspring),N = 1000,7.8,1.9344824171395878,0.6117370531709047
400,Maternal Parents,Doubletons (2 Offspring),N = 100,16.919999999999998,1.0507140429250952,0.3322649545167228
400,Maternal Parents,Doubletons (2 Offspring),N = 500,32.32,3.390444087595474,1.072152559625313
400,Maternal Parents,Doubletons (2 Offspring),N = 1000,14.2,2.256841450641434,0.7136759301905404
400,Paternal Parents,Singletons (1 Offspring),N = 100,48.68,3.783237884258521,1.1963648644493405
400,Paternal Parents,Singletons (1 Offspring),N = 500,50.8,5.504745427558137,1.740753349048113
400,Paternal Parents,Singletons (1 Offspring),N = 1000,39.26,2.1292669578467076,0.6733333333333329
400,Paternal Parents,Doubletons (2 Offspring),N = 100,13.959999999999999,1.069994807879407,0.33836206774532057
400,Paternal Parents,Doubletons (2 Offspring),N = 500,33.1,3.7025516726831635,1.1708496440145033
400,Paternal Parents,Doubletons (2 Offspring),N = 1000,29.44,1.9224983745116666,0.6079473661428265
800,Maternal Parents,Singletons (1 Offspring),N = 100,60.78,4.0204477362602304,1.271377206025026
800,Maternal Parents,Singletons (1 Offspring),N = 500,58.1,8.821312575549943,2.789543969102397
800,Maternal Parents,Singletons (1 Offspring),N = 1000,22.38,3.3631334595383917,1.0635161807263052
800,Maternal Parents,Doubletons (2 Offspring),N = 100,14.32,1.5295605759679989,0.4836895239257882
800,Maternal Parents,Doubletons (2 Offspring),N = 500,51.94,5.754264119377522,1.8196580875416009
800,Maternal Parents,Doubletons (2 Offspring),N = 1000,30.44,4.154569104545554,1.3137901066930153
800,Paternal Parents,Singletons (1 Offspring),N = 100,56.480000000000004,2.924532251299152,0.9248183004725244
800,Paternal Parents,Singletons (1 Offspring),N = 500,93.3,9.12396112807736,2.885249844756372
800,Paternal Parents,Singletons (1 Offspring),N = 1000,77.52,8.335839623110695,2.6360239418909353
800,Paternal Parents,Doubletons (2 Offspring),N = 100,12.94,0.8846845012017936,0.27976180344476376
800,Paternal Parents,Doubletons (2 Offspring),N = 500,46.92,5.386567655855733,1.7033822563098138
800,Paternal Parents,Doubletons (2 Offspring),N = 1000,58.04,7.265015102836639,2.297399496048618
1600,Maternal Parents,Singletons (1 Offspring),N = 100,73.42,3.0817743806666513,0.9745426277661394
1600,Maternal Parents,Singletons (1 Offspring),N = 500,125.3,12.084976899715889,3.8216052473622475
1600,Maternal Parents,Singletons (1 Offspring),N = 1000,82.72,9.414032079826368,2.9769783338143387
1600,Maternal Parents,Doubletons (2 Offspring),N = 100,11.42,1.2236557250032922,0.3869539162915053
1600,Maternal Parents,Doubletons (2 Offspring),N = 500,75.98,3.564578828167814,1.1272187996224257
1600,Maternal Parents,Doubletons (2 Offspring),N = 1000,82.22,11.484656430792057,3.6317672465802837
1600,Paternal Parents,Singletons (1 Offspring),N = 100,76.1,1.789475404195939,0.5658818094109599
1600,Paternal Parents,Singletons (1 Offspring),N = 500,192.96,10.65198990277821,3.3684549705894677
1600,Paternal Parents,Singletons (1 Offspring),N = 1000,211.24,17.263397373891642,5.4591655854067005
1600,Paternal Parents,Doubletons (2 Offspring),N = 100,8.82,1.0261037417770627,0.32448249396367884
1600,Paternal Parents,Doubletons (2 Offspring),N = 500,67.04,3.7968407920269733,1.2006664815842913
1600,Paternal Parents,Doubletons (2 Offspring),N = 1000,117.1,7.865677903962818,2.4873457517781663
