job_id,grid_id,scenario_id,profile_name,length_name,target_Np,target_SR,target_MM,decay_constant,max_mates_cap,np_weight,sr_weight,mm_weight,n_iter,burn_in,thin,trace_thin,n_chains,seed_set
1,1,1,Equal_Linear,1M_Iter,100,1,1,-0.05,10,50,50,50,1000000,100000,100,10,4,100
2,1,1,Equal_Linear,1M_Iter,100,1,1,-0.05,10,50,50,50,1000000,100000,100,10,4,200
3,1,1,Equal_Linear,1M_Iter,100,1,1,-0.05,10,50,50,50,1000000,100000,100,10,4,300
4,2,2,Equal_Linear,1M_Iter,100,1,2,-0.05,10,50,50,50,1000000,100000,100,10,4,100
5,2,2,Equal_Linear,1M_Iter,100,1,2,-0.05,10,50,50,50,1000000,100000,100,10,4,200
6,2,2,Equal_Linear,1M_Iter,100,1,2,-0.05,10,50,50,50,1000000,100000,100,10,4,300
7,3,3,Equal_Linear,1M_Iter,100,1,4,-0.05,10,50,50,50,1000000,100000,100,10,4,100
8,3,3,Equal_Linear,1M_Iter,100,1,4,-0.05,10,50,50,50,1000000,100000,100,10,4,200
9,3,3,Equal_Linear,1M_Iter,100,1,4,-0.05,10,50,50,50,1000000,100000,100,10,4,300
10,4,4,Equal_Linear,1M_Iter,100,2,2,-0.05,10,50,50,50,1000000,100000,100,10,4,100
11,4,4,Equal_Linear,1M_Iter,100,2,2,-0.05,10,50,50,50,1000000,100000,100,10,4,200
12,4,4,Equal_Linear,1M_Iter,100,2,2,-0.05,10,50,50,50,1000000,100000,100,10,4,300
13,5,5,Equal_Linear,1M_Iter,100,2,4,-0.05,10,50,50,50,1000000,100000,100,10,4,100
14,5,5,Equal_Linear,1M_Iter,100,2,4,-0.05,10,50,50,50,1000000,100000,100,10,4,200
15,5,5,Equal_Linear,1M_Iter,100,2,4,-0.05,10,50,50,50,1000000,100000,100,10,4,300
16,6,6,Equal_Linear,1M_Iter,100,4,4,-0.05,10,50,50,50,1000000,100000,100,10,4,100
17,6,6,Equal_Linear,1M_Iter,100,4,4,-0.05,10,50,50,50,1000000,100000,100,10,4,200
18,6,6,Equal_Linear,1M_Iter,100,4,4,-0.05,10,50,50,50,1000000,100000,100,10,4,300
19,7,7,Equal_Linear,1M_Iter,200,1,1,-0.05,10,100,100,100,1000000,100000,100,10,4,100
20,7,7,Equal_Linear,1M_Iter,200,1,1,-0.05,10,100,100,100,1000000,100000,100,10,4,200
21,7,7,Equal_Linear,1M_Iter,200,1,1,-0.05,10,100,100,100,1000000,100000,100,10,4,300
22,8,8,Equal_Linear,1M_Iter,200,1,2,-0.05,10,100,100,100,1000000,100000,100,10,4,100
23,8,8,Equal_Linear,1M_Iter,200,1,2,-0.05,10,100,100,100,1000000,100000,100,10,4,200
24,8,8,Equal_Linear,1M_Iter,200,1,2,-0.05,10,100,100,100,1000000,100000,100,10,4,300
25,9,9,Equal_Linear,1M_Iter,200,1,4,-0.05,10,100,100,100,1000000,100000,100,10,4,100
26,9,9,Equal_Linear,1M_Iter,200,1,4,-0.05,10,100,100,100,1000000,100000,100,10,4,200
27,9,9,Equal_Linear,1M_Iter,200,1,4,-0.05,10,100,100,100,1000000,100000,100,10,4,300
28,10,10,Equal_Linear,1M_Iter,200,2,2,-0.05,10,100,100,100,1000000,100000,100,10,4,100
29,10,10,Equal_Linear,1M_Iter,200,2,2,-0.05,10,100,100,100,1000000,100000,100,10,4,200
30,10,10,Equal_Linear,1M_Iter,200,2,2,-0.05,10,100,100,100,1000000,100000,100,10,4,300
31,11,11,Equal_Linear,1M_Iter,200,2,4,-0.05,10,100,100,100,1000000,100000,100,10,4,100
32,11,11,Equal_Linear,1M_Iter,200,2,4,-0.05,10,100,100,100,1000000,100000,100,10,4,200
33,11,11,Equal_Linear,1M_Iter,200,2,4,-0.05,10,100,100,100,1000000,100000,100,10,4,300
34,12,12,Equal_Linear,1M_Iter,200,4,4,-0.05,10,100,100,100,1000000,100000,100,10,4,100
35,12,12,Equal_Linear,1M_Iter,200,4,4,-0.05,10,100,100,100,1000000,100000,100,10,4,200
36,12,12,Equal_Linear,1M_Iter,200,4,4,-0.05,10,100,100,100,1000000,100000,100,10,4,300
37,13,13,Equal_Linear,1M_Iter,400,1,1,-0.05,10,200,200,200,1000000,100000,100,10,4,100
38,13,13,Equal_Linear,1M_Iter,400,1,1,-0.05,10,200,200,200,1000000,100000,100,10,4,200
